id,booking_id,tutor_id,student_id,rating,feedback,criticism,is_visible,is_reviewed_by_admin,created_at
9a31f6e8-1fc7-46a1-8293-a6218bfe8597,2b52b8ac-010e-48e9-aa8b-c149b36ed288,119e3bb3-573b-44e0-8d3d-32f2,fb31a1c7-2745-4b5b-82ee-8f2d,5,Really helpful session. Explained the concept clearly and patiently.,Sometimes used terminology that was hard to follow.,1,0,2026-06-15 11:00:00
dbc76b47-5d65-4b31-b30f-7c01f8d5ad97,d443fb41-8607-48e0-872c-481317deceb3,e17cbcca-3539-4722-9379-c5df,298befeb-9a27-46cf-a4b6-36c9,3,Decent session overall. Covered most of the topics I needed.,,1,0,2026-05-02 17:00:00
7ac9e70a-6cf8-43a6-8e77-ffd9c9c70c56,3bba876e-c15d-4f5e-a193-286062b95f10,657c8ae5-2d76-41fc-bf97-c731,dd28f24d-6a65-47c1-8bab-3720,4,Really helpful session. Explained the concept clearly and patiently.,Session felt slightly rushed near the end.,1,0,2026-05-04 18:00:00
481fe5a6-0624-4757-8ce0-c3452f8ed7b9,68500b57-2049-40f3-9ff4-7105d1947f9a,41c1bd2f-bbd3-4eaa-bac8-c478,4c79462e-24e3-4e6d-9274-a8b1,5,Session was well-structured. Came prepared with examples and practice problems.,,1,0,2026-05-26 00:00:00
c6bcdb8a-efe7-42e3-82dd-abdbd363867c,9c2c5e74-7f72-488f-b215-027cb40e2903,0cb77f4b-6938-42e8-8ac0-ef08,260ad1c8-387b-482c-9e8e-2f65,4,The session was productive. Covered everything I needed before the exam.,Would have liked more examples for each concept.,1,0,2026-04-23 11:00:00
303e8e21-7ed4-4670-9ad1-203f3aac8118,fcc3e5e8-2649-47d4-b9a5-a50f8bcd10bd,0994c283-0ea3-40c4-bcde-718b,d1a7bb15-14b8-4687-874f-02ce,4,Very knowledgeable and well-prepared. Would book again.,Would be better with some visual aids or diagrams.,1,0,2026-04-24 00:00:00
7ca00a2f-db65-44fb-999a-656b613bbf9c,503948c1-cf1d-4f56-bfc2-9cfcc2481d78,41c1bd2f-bbd3-4eaa-bac8-c478,d00410d2-3ece-41b6-bea2-9095,4,Patient and thorough. Didn't rush through anything.,,1,0,2026-04-27 05:00:00
8819b074-ed90-4727-a0c7-60089ce9e010,93ae385c-1d5b-4220-bce2-48663a227944,fe3511f1-d615-4b38-8878-027b,462c8ead-ff68-4fbd-8b44-93f7,2,Session was fine. Could have been more interactive.,Went a bit too fast in some places.,1,1,2026-06-08 10:00:00
a6750441-0731-4b0b-9605-3891ef8bd28d,cd969306-e139-42a0-982c-d864a00209cd,4e0230b1-1192-43e7-b07b-107f,007a26e1-e92d-42ff-9bf7-6928,4,Session was well-structured. Came prepared with examples and practice problems.,,1,1,2026-04-21 20:00:00
384ad546-c277-49fc-8967-0c5b0e178498,4d2b6b2b-f308-467b-9e5a-acdfc312a748,36e87989-9545-46ed-9e60-450b,66cd950d-968f-486a-9853-1653,4,Explained everything step by step. My concepts are much clearer now.,Went a bit too fast in some places.,1,0,2026-05-17 16:00:00
4ba7c933-d087-4865-9925-78971fef7bc8,efa66727-4478-44b1-9cdd-aa2aed5f2d22,4e0230b1-1192-43e7-b07b-107f,b6a72833-1ed5-47cc-b573-9357,4,The session was productive. Covered everything I needed before the exam.,Session felt slightly rushed near the end.,1,1,2026-06-01 13:00:00
7841129c-aa9b-41cb-83e8-4983f20a9394,bf9a9eee-f5f7-4e4b-9201-4cc06ce0ba41,0cb77f4b-6938-42e8-8ac0-ef08,f1a4d6c0-ad27-4daf-882c-de60,4,Helped me understand things my professor couldn't explain in weeks.,Would be better with some visual aids or diagrams.,1,0,2026-04-28 15:00:00
ed7edf72-5417-475a-aa92-cbcf154e6aea,75fcc90f-2cbd-4cd9-bc16-8092e0517f01,36e87989-9545-46ed-9e60-450b,260ad1c8-387b-482c-9e8e-2f65,4,Excellent communication and very responsive. Highly recommend.,Went a bit too fast in some places.,1,0,2026-05-27 21:00:00
1339c4ed-acb4-4af6-8021-7faca84b5e72,2e20b70f-25f0-4770-8f3c-3fb521c4a1cd,4b82d069-e6b2-400f-bb6a-0be7,efa31b7f-07c7-40a7-966f-ea09,3,Was okay. Explained the basics but didn't go too deep.,,1,0,2026-05-11 22:00:00
1bec6c63-a192-422c-8585-58200a5c6756,47f10c5a-ecbb-4e7d-bdaf-f3a2938eacad,fe3511f1-d615-4b38-8878-027b,23255a3f-c69a-4c42-ad11-0454,5,Excellent communication and very responsive. Highly recommend.,,1,0,2026-04-21 14:00:00
4a61cdd3-fef0-40d8-bece-8aa2f9c9ace8,c32ec566-157e-4957-80ca-b2e9673cd940,dc075717-f141-437a-9947-77ea,56933ab3-9440-46ea-9fa0-fa76,4,Really helpful session. Explained the concept clearly and patiently.,Could have given more practice problems to work through.,1,1,2026-06-14 05:00:00
f6479853-da05-4daa-8a34-9dd2407001b0,94554094-8c97-4f5c-8ff7-58fd003cbd15,119e3bb3-573b-44e0-8d3d-32f2,007a26e1-e92d-42ff-9bf7-6928,4,"Great tutor, broke down difficult topics in a way that made sense.",,1,1,2026-05-27 23:00:00
e67d69b9-ccff-4448-be03-d5cbff19e9a4,91ed8e9d-ece9-44d9-aa16-34676ab14b93,4e0230b1-1192-43e7-b07b-107f,14e72f5b-3452-4831-ba7f-fd1a,4,Excellent communication and very responsive. Highly recommend.,Explaining with more real-world examples would help.,1,1,2026-05-23 07:00:00
b2df4dfa-aee6-4e39-8efb-1aeb09cf9269,84492bc8-aa0f-4280-a9fd-53a70a06c1b2,280e198e-916a-4fcd-8047-eb52,6e3d74c1-e8e3-4fba-9e69-3903,5,Very knowledgeable and well-prepared. Would book again.,Would have liked more examples for each concept.,1,0,2026-04-25 00:00:00
2eb64373-224b-406a-b8ac-2cc6109ce7f9,28092027-ddd8-443c-8653-cdef024103db,d93a01df-3994-409b-accc-e555,0d301cd9-d0a5-43c3-b196-92c4,5,The session was productive. Covered everything I needed before the exam.,,1,0,2026-04-22 18:00:00
2c753d95-0705-4bac-820a-15779a40d805,36f3dcd7-951f-4263-96a1-019f9f976e4e,d93a01df-3994-409b-accc-e555,2018b7d9-63d5-4bcd-a0a5-2322,5,Patient and thorough. Didn't rush through anything.,Would have liked more examples for each concept.,1,0,2026-04-20 19:00:00
fb254df8-0faf-48e7-a1b3-ba81fdf70afe,4e30ea74-d4d7-412c-a193-bccdf6f9521b,41c1bd2f-bbd3-4eaa-bac8-c478,845b9378-6cac-45e1-a254-6dcb,3,Decent session overall. Covered most of the topics I needed.,Would have liked more examples for each concept.,1,0,2026-04-28 00:00:00
cc699ea4-3216-4708-8a20-832870cb544c,e32ccd06-d6fb-4ea4-a208-a860243e8bfe,d7736bfc-7f6e-459a-8752-0cab,818e9ccb-8cf4-40a4-8530-9d78,5,Very good at simplifying complex topics. Really appreciated the session.,Went a bit too fast in some places.,1,0,2026-05-19 07:00:00
f01a38e5-c42f-4306-9002-0bec4ccc7069,fbd46be1-122c-4a48-98cc-2366266dc6ab,dc075717-f141-437a-9947-77ea,cf8e0306-0c5a-4e09-aa65-610e,5,Helped me understand things my professor couldn't explain in weeks.,Sometimes used terminology that was hard to follow.,1,1,2026-05-03 13:00:00
792673e3-b7d5-406a-ad77-6e61fd41d0e9,52798d4e-0285-4bdf-9f03-f1a9513df6f1,d7736bfc-7f6e-459a-8752-0cab,2018b7d9-63d5-4bcd-a0a5-2322,5,Really helpful session. Explained the concept clearly and patiently.,Went a bit too fast in some places.,1,0,2026-06-12 19:00:00
104d069e-4948-4139-998b-03fa02652994,a55a56c9-5aee-4644-8365-41614359d9d2,280e198e-916a-4fcd-8047-eb52,0d301cd9-d0a5-43c3-b196-92c4,4,The session was productive. Covered everything I needed before the exam.,Would be better with some visual aids or diagrams.,1,0,2026-06-14 17:00:00
95317e66-aac1-477c-bee2-90917854f64c,1bab115f-65b6-4b8f-8647-69a0600dad7d,119e3bb3-573b-44e0-8d3d-32f2,0d301cd9-d0a5-43c3-b196-92c4,4,Helped me understand things my professor couldn't explain in weeks.,Sometimes used terminology that was hard to follow.,1,1,2026-05-27 21:00:00
